"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_3796","638108731","5833654","5834811","+","0.39","1158","386","Tetratricopeptide TPR_2","113477254","4243744","-"
"Tery_3797","639331739","5835641","5836170","-","0.32","530","176.6666667","-","-","-","-"
"Tery_3798","638108732","5836695","5839820","+","0.33","3126","1042","small GTP-binding protein","113477255","4243746","-"
"Tery_3799","638108733","5839992","5841062","-","0.33","1071","357","glycerate kinase","113477256","4243747","-"
"Tery_3800","638108734","5841423","5841755","-","0.32","333","111","protein of unknown function DUF565","113477257","4242250","-"
"Tery_3801","638108735","5842271","5844271","+","0.32","2001","667","glycosyl transferase, family 39","113477258","4242251","-"
"Tery_3802","638108736","5844586","5847951","-","0.33","3366","1122","histidine kinase","113477259","4242252","-"
"Tery_3803","638108737","5848354","5849331","+","0.32","978","326","KaiA","113477260","4242253","-"
"Tery_3804","638108738","5849705","5850019","+","0.35","315","105","circadian clock protein KaiB","113477261","4242254","-"
"Tery_3805","638108739","5850161","5851720","+","0.36","1560","520","putative circadian clock protein, KaiC","113477262","4242255","-"
"Tery_R0040","640717068","5852521","5852592","-","0.57","72","-","tRNA-Val-TAC ","-","4242256","-"
"Tery_3806","638108741","5852706","5853323","+","0.39","618","206","conserved hypothetical protein","113477263","4242257","-"
"Tery_3807","638108742","5854217","5855305","+","0.37","1089","363","permease","113477264","4242258","-"
"Tery_3808","638108743","5855340","5856146","+","0.32","807","269","conserved hypothetical protein","113477265","4242259","-"
"Tery_3809","638108744","5856287","5857933","+","0.28","1647","549","glycosyl transferase, family 39","113477266","4242260","-"
"Tery_3810","638108745","5858754","5860268","+","0.4","1515","505","glycerol kinase( EC:2.7.1.30 )","113477267","4242261","-"
"Tery_3811","638108746","5860953","5861303","+","0.4","351","117","ATP-dependent Clp protease adaptor protein ClpS","113477268","4242262","clpS"
"Tery_3812","638108747","5861826","5863352","-","0.39","1527","509","light-independent protochlorophyllide reductase, B subunit( EC:1.18.- )","113477269","4242263","-"
"Tery_3813","638108748","5863868","5864548","+","0.39","681","227","Methyltransferase type 12","113477270","4242264","-"
"Tery_3814","639331740","5864873","5865427","+","0.41","555","185","-","-","-","-"
"Tery_3815","638108749","5865822","5866112","+","0.36","291","97","hypothetical protein","113477271","4242266","-"
"Tery_3816","638108750","5867072","5867284","+","0.32","213","71","hypothetical protein","113477272","4242267","-"
"Tery_3817","638108751","5867650","5867856","+","0.34","207","69","hypothetical protein","113477273","4242268","-"
"Tery_3818","638108752","5868027","5869220","+","0.38","1194","398","glycosyl transferase, group 1","113477274","4242269","-"
"Tery_3819","638108753","5869316","5876971","+","0.4","7656","2552","beta-ketoacyl synthase","113477275","4242270","-"
"Tery_3820","638108754","5876968","5881329","+","0.38","4362","1454","AMP-dependent synthetase and ligase","113477276","4242271","-"
"Tery_3821","638108755","5881443","5887172","+","0.4","5730","1910","beta-ketoacyl synthase","113477277","4242272","-"
"Tery_3822","638108756","5887337","5891401","+","0.39","4065","1355","beta-ketoacyl synthase","113477278","4242273","-"
"Tery_3823","638108757","5891768","5892256","+","0.31","489","163","conserved hypothetical protein","113477279","4242274","-"
"Tery_3824","638108758","5892400","5893881","+","0.33","1482","494","putative flavin-binding monooxygenase","113477280","4242275","-"
"Tery_3825","638108759","5894131","5895816","+","0.37","1686","562","lipase  class 3","113477281","4242276","-"
"Tery_3826","638108760","5897089","5899005","+","0.39","1917","639","Dimethylaniline monooxygenase (N-oxide forming)( EC:1.14.13.8 )","113477282","4242277","-"
"Tery_3827","639331741","5899336","5899725","+","0.33","390","130","-","-","-","-"
"Tery_3828","638108761","5900218","5901993","-","0.35","1776","592","ABC-1","113477283","4242279","-"
"Tery_3829","638108762","5904039","5905364","-","0.35","1326","442","conserved hypothetical protein","113477284","4242280","-"
"Tery_3830","638108763","5906307","5916920","+","0.4","10614","3538","filamentous haemagglutinin family outer membrane protein","113477285","4242281","-"
"Tery_3831","638108764","5917266","5918024","-","0.35","759","253","biotin/lipoate A/B protein ligase( EC:2.7.7.63 )","113477286","4242282","-"
"Tery_3832","638108765","5918586","5919080","-","0.38","495","165","conserved hypothetical protein","113477287","4242283","-"
"Tery_3833","638108766","5919177","5920268","-","0.33","1092","364","Methyltransferase type 11","113477288","4242284","-"
"Tery_3834","638108767","5920770","5922191","-","0.39","1422","474","glutamine synthetase, type I( EC:6.3.1.2 )","113477289","4242285","-"
"Tery_3835","638108768","5922960","5923469","+","0.37","510","170","allophycocyanin, beta subunit","113477290","4242286","-"
"Tery_3836","638108769","5923744","5924598","+","0.33","855","285","hemolysin A","113477291","4242287","-"
"Tery_3837","639331742","5924915","5925670","+","0.36","756","252","-","-","-","-"
"Tery_3838","638108770","5926433","5927119","+","0.26","687","229","hypothetical protein","113477292","4242289","-"
"Tery_3839","638108771","5927248","5928693","-","0.32","1446","482","small GTP-binding protein","113477293","4242290","-"
"Tery_3840","638108772","5931920","5933398","-","0.32","1479","493","conserved hypothetical protein","113477294","4242291","-"
"Tery_3841","638108773","5934688","5934846","-","0.27","159","53","conserved hypothetical protein","113477295","4242292","-"
"Tery_3842","638108774","5935320","5935901","-","0.34","582","194","Redoxin","113477296","4242293","-"
"Tery_3843","638108775","5936030","5937514","+","0.38","1485","495","glutamyl-tRNA(Gln) amidotransferase, B subunit( EC:6.3.5.6,EC:6.3.5.7 )","113477297","4242294","gatB"
"Tery_3844","638108776","5937958","5938557","+","0.33","600","200","hypothetical protein","113477298","4242295","-"
"Tery_3845","638108777","5940562","5942922","+","0.41","2361","787","protein of unknown function DUF839","113477299","4242296","-"
"Tery_3846","638108778","5943650","5944426","-","0.38","777","259","microcompartments protein","113477300","4242297","-"
"Tery_3847","638108779","5945002","5945916","-","0.36","915","305","transferase hexapeptide repeat","113477301","4242298","-"
"Tery_3848","638108780","5946139","5946573","-","0.35","435","145","protein tyrosine phosphatase( EC:3.1.3.48 )","113477302","4242299","-"
"Tery_3849","638108781","5946968","5948986","-","0.39","2019","673","Carbonate dehydratase","113477303","4242300","-"
"Tery_3850","638108782","5949119","5949421","-","0.42","303","101","Ethanolamine utilization protein EutN/carboxysome structural protein Ccml","113477304","4242301","-"
"Tery_3851","638108783","5949949","5950287","-","0.45","339","113","microcompartments protein","113477305","4242302","-"
"Tery_3852","638108784","5951160","5951471","-","0.43","312","104","microcompartments protein","113477306","4242303","-"
"Tery_3853","638108785","5952629","5954473","+","0.39","1845","615","NAD(P)H dehydrogenase, subunit NdhF3 family( EC:1.6.5.3 )","113477307","4242304","-"
"Tery_3854","638108786","5954948","5955229","+","0.27","282","94","hypothetical protein","113477308","4242305","-"
"Tery_3855","639331743","5956767","5957272","+","0.26","506","168.6666667","-","-","-","-"
"Tery_3856","638108787","5957989","5958264","+","0.42","276","92","hypothetical protein","113477309","4242307","-"
"Tery_3857","639331744","5958415","5958699","+","0.44","285","95","-","-","-","-"
"Tery_3858","638108788","5959527","5960936","+","0.34","1410","470","sugar (Glycoside-Pentoside-Hexuronide) transporter","113477310","4243520","-"
"Tery_3859","638108789","5962350","5962739","+","0.33","390","130","hypothetical protein","113477311","4243521","-"
"Tery_3860","638108790","5963776","5964636","+","0.38","861","287","Prolyl aminopeptidase( EC:3.4.11.5 )","113477312","4243522","-"
"Tery_3861","638108791","5966135","5967487","-","0.31","1353","451","conserved hypothetical protein","113477313","4243523","-"
"Tery_3862","639331745","5967908","5968273","+","0.25","366","122","-","-","-","-"
"Tery_3863","638108792","5968655","5974453","+","0.31","5799","1933","serine/threonine protein kinase","113477314","4243525","-"
"Tery_3864","638108794","5974812","5977262","-","0.38","2451","817","ComEC/Rec2-related protein","113477315","4243527","-"
"Tery_3865","638108795","5977433","5977909","-","0.4","477","159","conserved hypothetical protein","113477316","4243528","-"
"Tery_3866","638108796","5978061","5978945","-","0.44","885","295","Glycine--tRNA ligase( EC:6.1.1.14 )","113477317","4243529","glyQ"
"Tery_3867","638108797","5979240","5979506","+","0.35","267","89","conserved hypothetical protein","113477318","4243530","-"
"Tery_3868","638108798","5979966","5980283","-","0.34","318","106","WD-40 repeat","113477319","4243531","-"
"Tery_3869","638108799","5980539","5985200","-","0.42","4662","1554","WD-40 repeat","113477320","4243532","-"
"Tery_3870","638108800","5985835","5986308","+","0.32","474","158","hypothetical protein","113477321","4243533","-"
"Tery_3871","639331746","5986438","5987895","-","0.28","1458","486","-","-","-","-"
"Tery_3872","638108801","5988706","5989332","+","0.29","627","209","PAP fibrillin","113477322","4243535","-"
"Tery_3873","638108802","5989590","5990066","-","0.31","477","159","GCN5-related N-acetyltransferase( EC:2.3.1.1 )","113477323","4243536","-"
"Tery_3874","638108803","5990186","5990968","+","0.32","783","261","HAD-superfamily hydrolase, subfamily IIB","113477324","4243537","-"
"Tery_3875","638108804","5991252","5991998","+","0.4","747","249","RNA methyltransferase, TrmH family, group 1( EC:2.1.1.- )","113477325","4243538","-"
"Tery_3876","638108805","5992847","5994253","+","0.39","1407","469","beta-lactamase( EC:3.5.2.6 )","113477326","4243539","-"
"Tery_3877","638108806","5995638","5998688","+","0.37","3051","1017","exonuclease SbcC","113477327","4243540","-"
"Tery_3878","638108807","5999123","6001252","-","0.39","2130","710","lipase","113477328","4243541","-"
"Tery_3879","639331747","6001644","6001871","-","0.32","228","76","-","-","-","-"
"Tery_3880","638108808","6001967","6002401","-","0.37","435","145","hypothetical protein","113477329","4243543","-"
"Tery_3881","638108809","6002976","6004025","-","0.35","1050","350","UbiA prenyltransferase","113477330","4243544","ubiA"
"Tery_3882","638108810","6004458","6005156","-","0.32","699","233","TrkA-N","113477331","4243545","-"
"Tery_3883","638108811","6006416","6007747","-","0.33","1332","444","potassium uptake protein, TrkH family","113477332","4243546","-"
"Tery_3884","638108812","6008576","6009457","+","0.4","882","294","Methyltransferase type 11( EC:2.1.1.95 )","113477333","4243547","-"
"Tery_3885","638108813","6009686","6009883","+","0.33","198","66","conserved hypothetical protein","113477334","4243548","-"
"Tery_3886","638108814","6010625","6011098","+","0.34","474","158","conserved hypothetical protein","113477335","4243549","-"
"Tery_3887","638108815","6011216","6011569","+","0.36","354","118","ribosomal protein S6","113477336","4243550","rpsF"
"Tery_3888","639331748","6012346","6012956","+","0.31","611","203.6666667","-","-","-","-"
"Tery_3889","638108816","6013774","6014322","+","0.36","549","183","conserved hypothetical protein","113477337","4243552","-"
"Tery_3890","638108817","6014785","6015126","-","0.31","342","114","anti-sigma-factor antagonist","113477338","4243553","-"
"Tery_3891","638108818","6016372","6016554","+","0.36","183","61","hypothetical protein","113477339","4243554","-"
"Tery_3892","638108819","6016874","6017011","+","0.37","138","46","photosystem II protein PsbK","113477340","4243555","psbK"
"Tery_3893","639331749","6017442","6018462","-","0.4","1021","340.3333333","-","-","-","-"
"Tery_3894","638108820","6018552","6019571","-","0.4","1020","340","hypothetical protein","113477341","4243557","-"
"Tery_3895","638108821","6020453","6020917","-","0.37","465","155","conserved hypothetical protein","113477342","4243558","-"
"Tery_3896","638108822","6020933","6021556","-","0.37","624","208","beta-lactamase-like","113477343","4243559","-"
"Tery_3897","638108823","6021628","6023127","+","0.33","1500","500","peptidase M50","113477344","4243560","-"
"Tery_3898","638108824","6024293","6025342","-","0.35","1050","350","fatty acid desaturase","113477345","4243561","-"
"Tery_3899","638108825","6025595","6026158","+","0.31","564","188","NUDIX hydrolase","113477346","4243562","-"
"Tery_3900","638108826","6026445","6026660","-","0.33","216","72","conserved hypothetical protein","113477347","4243563","-"
"Tery_3901","638108827","6027159","6028307","+","0.33","1149","383","COG0552: Signal recognition particle GTPase","113477348","4243564","-"
"Tery_3902","639331750","6030714","6030929","+","0.27","216","72","-","-","-","-"
"Tery_3903","638108828","6030966","6033395","+","0.29","2430","810","Tetratricopeptide TPR_2","113477349","4243566","-"
"Tery_3904","639331751","6035403","6037159","+","0.42","1757","585.6666667","-","-","-","-"
"Tery_3905","638108829","6037303","6038010","+","0.3","708","236","DNA adenine methylase( EC:2.1.1.72 )","113477350","4243568","-"
"Tery_3906","638108830","6039001","6040260","+","0.29","1260","420","conserved hypothetical protein","113477351","4243569","-"
"Tery_3908","638108832","6040954","6041544","+","0.39","591","197","conserved hypothetical protein","113477353","4243571","-"
"Tery_3909","638108833","6041834","6042592","+","0.41","759","253","Phycobilisome linker polypeptide","113477354","4243572","-"
"Tery_3910","638108834","6043850","6044005","-","0.33","156","52","putative transposase","113477355","4243573","-"
"Tery_3911","639331752","6044022","6044421","-","0.32","400","133.3333333","-","-","-","-"
"Tery_3912","638108835","6044701","6046089","-","0.33","1389","463","histidine kinase","113477356","4243575","-"
